"","�..","Official.Name.of.Satellite","Country.Organization.of.UN.Registry","Operator.Owner","Country.of.Operator.Owner","Users","Purpose","Detailed.Purpose","Class.of.Orbit","Type.of.Orbit","Longitude.of.Geosynchronous.Orbit..Degrees.","Perigee..Kilometers.","Apogee..Kilometers.","Eccentricity","Inclination..Degrees.","Period..Minutes.","Launch.Mass..Kilograms.","Dry.Mass..Kilograms.","Power..Watts.","Date.of.Launch","Expected.Lifetime..Years.","Contractor","Country.of.Contractor","Launch.Site","Launch.Vehicle","COSPAR.Number","NORAD.Number","launch.lng","launch.lat"
"1037",1037,"Shijian 11 02","China","Chinese Academy of Space Technology (CAST)","China","Government","Technology Development","","LEO","Sun-Synchronous",0,686,704,0.00127,98.2,"98.7","","","",2011-07-29,"","Chinese Academy of Space Technology (CAST/DFH Satellite","China","Jiuquan Satellite Launch Center","Long March 2C","2011-039A",37765,105,35
"1038",1038,"Shijian 11 03","NR","Chinese Academy of Space Technology (CAST)","China","Government","Technology Development","","LEO","Sun-Synchronous",0,688,703,0.00106,98.2,"98.7","","","",2011-07-06,"","Chinese Academy of Space Technology (CAST)/DFH Satellite","China","Jiuquan Satellite Launch Center","Long March 2C","2011-030A",37730,105,35
"1039",1039,"Shijian 11 05","China","Chinese Academy of Space Technology (CAST)","China","Government","Technology Development","","LEO","Sun-Synchronous",0,689,704,0.00106,98.1,"98.7","","","",2013-07-15,"","Chinese Academy of Space Technology (CAST)","China","Jiuquan Satellite Launch Center","Long March 2C","2013-035A",39202,105,35
"1040",1040,"Shijian 11 06","China","Chinese Academy of Space Technology (CAST)","China","Government","Technology Development","","LEO","Sun-Synchronous",0,688,704,0.00113,98.26,"98.69","","","",2014-03-31,"","Chinese Academy of Space Technology (CAST)","China","Jiuquan Satellite Launch Center","Long March 2C","2014-014A",39624,105,35
"1041",1041,"Shijian 11 07","NR","Chinese Academy of Space Technology (CAST)","China","Government","Technology Development","","LEO","Sun-Synchronous",0,687,705,0.00127,98.12,"98.69","","","",2014-09-28,"","Chinese Academy of Space Technology (CAST)","China","Jiuquan Satellite Launch Center","Long March 2C","2014-059A",40261,105,35
"1042",1042,"Shijian 11 08","NR","Chinese Academy of Space Technology (CAST)","China","Government","Technology Development","","LEO","Sun-Synchronous",0,690,705,0.00106,98.2,"98.6","","","",2014-10-27,"","Chinese Academy of Space Technology (CAST)","China","Jiuquan Satellite Launch Center","Long March 2C","2014-066A",40286,105,35
"1043",1043,"Shijian 12","China","Chinese Academy of Space Technology (CAST)","China","Government","Technology Development","","LEO","Sun-Synchronous",0,583,601,0.00129,97.7,"96.5","","","",2010-06-15,"","Chinese Academy of Space Technology (CAST)","China","Jiuquan Satellite Launch Center","Long March 2D","2010-027A",36596,105,35
"1044",1044,"Shijian 15","NR","Chinese Academy of Space Technology (CAST)","China","Government","Technology Development","","LEO","Sun-Synchronous",0,661,673,0.000853,98.06,"98.08","","","",2013-07-19,"","Chinese Academy of Space Technology (CAST)","China","Taiyuan Launch Center","Long March 3C","2013-037C",39210,105,35
"1045",1045,"Shijian 16 01","China","Chinese Academy of Space Technology (CAST)","China","Government","Technology Development","","LEO","Polar",0,599,616,0.00122,74.98,"96.85","","","",2013-10-25,"","Chinese Academy of Space Technology (CAST)","China","Jiuquan Satellite Launch Center","Long March 4B","2013-057A",39358,105,35
"1046",1046,"Shijian 16 02","NR","Chinese Academy of Space Technology (CAST)","China","Government","Technology Development","","LEO","Polar",0,338,594,0.0187,75,"96.81","","","",2016-06-29,"","Chinese Academy of Space Technology (CAST)","China","Jiuquan Satellite Launch Center","Long March 4B","2016-043A",41634,105,35
"1047",1047,"Shijian 6A","China","Chinese Academy of Space Technology (CAST)","China","Government","Space Science","","LEO","Sun-Synchronous",0,579,606,0.00194,97.8,"96.5","","","",2004-09-08,"2","Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.","China","Taiyuan Launch Center","Long March 4B","2004-035A",28413,105,35
"1048",1048,"Shijian 6B","China","Chinese Academy of Space Technology (CAST)","China","Government","Space Science","","LEO","Sun-Synchronous",0,587,598,0.00079,97.8,"96.5","","","",2004-09-08,"2","Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.","China","Taiyuan Launch Center","Long March 4B","2004-035B",28414,105,35
"1049",1049,"Shijian 6C","China","Chinese Academy of Space Technology (CAST)","China","Government","Space Science","","LEO","Sun-Synchronous",0,591,594,0.000215,97.7,"96.5","","","",2006-10-23,"","Chinese Academy of Space Technology (CAST)/DFH Satellite","China","Taiyuan Launch Center","Long March 4B","2006-046A",29505,105,35
"1050",1050,"Shijian 6D","China","Chinese Academy of Space Technology (CAST)","China","Government","Space Science","","LEO","Sun-Synchronous",0,594,595,7.18e-05,97.7,"96.6","","","",2006-10-23,"","Chinese Academy of Space Technology (CAST)/DFH Satellite","China","Taiyuan Launch Center","Long March 4B","2006-046B",29506,105,35
"1051",1051,"Shijian 6E","China","Chinese Academy of Space Technology (CAST)","China","Government","Space Science","","LEO","Sun-Synchronous",0,581,607,0.00187,97.6,"96.6","","","",2008-10-25,"3","Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.","China","Taiyuan Launch Center","Long March 4B","2008-053A",33408,105,35
"1052",1052,"Shijian 6F","China","Chinese Academy of Space Technology (CAST)","China","Government","Space Science","","LEO","Sun-Synchronous",0,578,603,0.0018,97.6,"96.5","","","",2008-10-25,"3","Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.","China","Taiyuan Launch Center","Long March 4B","2008-053B",33409,105,35
"1053",1053,"Shijian 6G","China","Chinese Academy of Space Technology (CAST)","China","Government","Earth Observation","","LEO","Sun-Synchronous",0,584,603,0.00136,97.7,"96.6","","","",2010-10-06,"","Chinese Academy of Space Technology (CAST)/DFH Satellite","China","Taiyuan Launch Center","Long March 4B","2010-051A",37179,105,35
"1054",1054,"Shijian 6H","China","Chinese Academy of Space Technology (CAST)","China","Government","Earth Observation","","LEO","Sun-Synchronous",0,586,602,0.00115,97.7,"96.6","","","",2010-10-06,"","Chinese Academy of Space Technology (CAST)/DFH Satellite","China","Taiyuan Launch Center","Long March 4B","2010-051B",37180,105,35
"1055",1055,"Shijian 7","China","Chinese Academy of Space Technology (CAST)","China","Government","Space Science","","LEO","Sun-Synchronous",0,534,591,0.00411,97.7,"95.9","","","",2005-07-05,"3","Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.","China","Jiuquan Satellite Launch Center","Long March 2D","2005-024A",28737,105,35
"1056",1056,"Shijian 9A","China","Shanghai Academy of Space Technology (CAST)","China","Government","Technology Development","","LEO","Sun-Synchronous",0,623,650,0.00193,97.99,"97.44","","","",2012-10-14,"","Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.","China","Taiyuan Launch Center","Long March 2C","2012-056A",38860,105,35
"1057",1057,"Shijian 9B","China","Shanghai Academy of Space Technology (CAST)","China","Government","Technology Development","","LEO","Sun-Synchronous",0,624,651,0.00193,97.99,"97.46","","","",2012-10-14,"","Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.","China","Taiyuan Launch Center","Long March 2C","2012-056B",38861,105,35
"1058",1058,"Shiyan 1","China","Chinese Academy of Space Technology (CAST)","China","Government","Earth Observation","","LEO","Sun-Synchronous",0,586,601,0.00108,97.5,"96.6","204","","",2004-04-18,"","Chinese Research Institute of Space Technology/Changchun Photomechanical Institute (CAS)","China","Xichang Satellite Launch Center","Long March 2C","2004-012A",28220,105,35
"1059",1059,"Shiyan 3","China","Chinese Academy of Space Technology (CAST)","China","Government","Earth Observation","","LEO","Sun-Synchronous",0,785,803,0.00126,98.5,"100.8","300","","",2008-11-05,"","Harbin Institute of Technology","China","Jiuquan Satellite Launch Center","Long March 2D","2008-056A",33433,105,35
"1060",1060,"Shiyan 4","China","Chinese Academy of Space Technology (CAST)","China","Government","Earth Observation","","LEO","Sun-Synchronous",0,784,802,0.00126,98.4,"100.7","300","","",2011-11-20,"","CAST/DFH Satellite/HIT","China","Jiuquan Satellite Launch Center","Long March 2D","2011-068B",37931,105,35
"1061",1061,"Shiyan 5","China","Chinese Academy of Space Technology (CAST)","China","Government","Earth Observation","","LEO","Sun-Synchronous",0,739,755,0.00112,97.9,"99.7","204","","",2013-11-25,"","Chinese Academy of Space Technology (CAST)","China","Jiuquan Satellite Launch Center","Long March 2D","2013-068A",39455,105,35
"1062",1062,"Shiyan 7","NR","Chinese Academy of Space Technology (CAST)","China","Military","Technology Development","","LEO","Sun-Synchronous",0,668,672,0.000284,98.06,"98.15","","","",2013-07-19,"","Chinese Academy of Space Technology (CAST)","China","Taiyuan Launch Center","Long March 4C","2013-037A",39208,105,35
"1063",1063,"Sicral 1A","Italy","Italian Defense Ministry","Italy","Military","Communications","","GEO","",16.25,35769,35802,0.000391,1.01,"1436.06","2596","1263","3300",2001-02-07,"12-Oct","Alenia Spazio","Italy","Guiana Space Center","Ariane 44L","2001-005A",26694,-52.76898,5.21603
"1064",1064,"Sicral 1B","Italy","Italian Defense Ministry/Telespazio","Italy","Military/Commercial","Communications","","GEO","",11.8,35788,35802,0.000166,0.04,"1436.52","3038","","",2009-04-20,"12-Oct","Thales Alenia Space Italia","Italy","Sea Launch (Odyssey)","Zenit 3SL","2009-020A",34810,12.83333,42.83333
"1065",1065,"Sicral 2/Syracuse 3C","NR","Italian Defense Ministry/French Defense Ministry","France/Italy","Military","Communications","","GEO","",37,35770,35800,0.000356,0,"1436","4400","","7700",2015-04-26,"15","Thales Alenia Space","France/Italy","Guiana Space Center","Ariane 5","2015-022B",40614,-52.76898,5.21603
"1066",1066,"Sinah-1","NR","Iranian Research Organization for Science and Technology (IROST)","Iran","Government","Communications","","LEO","Sun-Synchronous",0,681,703,0.00156,97.9,"98.6","170","","",2005-10-27,"3","Polyot","Russia","Plesetsk Cosmodrome","Kosmos 3M","2005-043D",28893,100,60
"1067",1067,"SINOD D-1","NR","SRI International","USA","Commercial","Technology Demonstration","","LEO","Non-Polar Inclined",0,494,800,0.0218,64.78,"97.67","2","","",2015-10-08,"","SRI International","USA","Cape Canaveral","Atlas 5","2015-058L",40974,-80.53311,28.45861
"1068",1068,"SINOD D-3","NR","SRI International","USA","Commercial","Technology Demonstration","","LEO","Non-Polar Inclined",0,494,800,0.0218,64.78,"97.66","2","","",2015-10-08,"","SRI International","USA","Cape Canaveral","Atlas 5","2015-058P",40977,-80.53311,28.45861
"1069",1069,"Sinosat-6","China","China Direct Broadcast Satellite co.","China","Commercial","Communications","","GEO","",0,35794,35796,2.37e-05,0.3,"1436.1","5000","","",2010-09-04,"15","Chinese Academy of Space Technology (CAST)","China","Xichang Satellite Launch Center","Long March 3B","2010-042A",37150,105,35
"1070",1070,"Sirius 2 (SD Radio 2)","USA","Sirius XM Holdings","USA","Commercial","Communications","","Elliptical","Molniya",0,12849,47048,0.471,63.3,"1148.43","3792","1570","",2000-09-05,"15","Space Systems/Loral","USA","Baikonur Cosmodrome","Proton K","2000-051A",26483,63.30091,46.00573
"1071",1071,"Sirius 3 (SD Radio 3)","USA","Sirius XM Holdings","USA","Commercial","Communications","","Elliptical","Molniya",0,6179,47086,0.62,63.4,"994.83","3727","1570","",2000-11-30,"15","Space Systems/Loral","USA","Baikonur Cosmodrome","Proton K","2000-077A",26626,63.30091,46.00573
"1072",1072,"Sirius 4","Sweden","SES Sirius AB","Sweden","Commercial","Communications","","GEO","",4.85,35776,35795,0.000225,0.04,"1436.1","4400","","",2007-11-17,"15","Lockheed Martin Commercial Space Systems","USA","Baikonur Cosmodrome","Proton M","2007-057A",32299,63.30091,46.00573
"1073",1073,"Sirius FM-5","USA","Sirius XM Holdings","USA","Commercial","Communications","","GEO","",-96,35774,35798,0.000285,0,"1436","5800","","20000",2009-06-30,"15","Space Systems/Loral","USA","Baikonur Cosmodrome","Proton M","2009-034A",35493,63.30091,46.00573
"1074",1074,"Sirius FM-6","USA","Sirius XM Holdings","USA","Commercial","Communications","","GEO","",-115.2,35785,35791,7.12e-05,0.08,"1436.16","6020","2975","20000",2013-10-25,"15","Space Systems/Loral","USA","Baikonur Cosmodrome","Proton M","2013-058A",39360,63.30091,46.00573
"1075",1075,"Sirius XM-5","USA","Sirius XM Holdings","USA","Commercial","Communications","","GEO","",-85.2,35779,35795,0.00019,0.03,"1436.12","5983","","18000",2010-10-14,"15","Space Systems/Loral","USA","Baikonur Cosmodrome","Proton M","2010-053A",37185,63.30091,46.00573
"1076",1076,"Sirius-1 (SD Radio 1)","USA","Sirius XM Holdings","USA","Commercial","Communications","","Elliptical","Molniya",0,23783,47100,0.279,63.3,"1418.5","3727","1570","",2000-06-30,"15","Space Systems/Loral","USA","Baikonur Cosmodrome","Proton K","2000-035A",26390,63.30091,46.00573
"1077",1077,"Sky Mexico-1","NR","Sky Mexico","Mexico","Commercial","Communications","","GEO","",-79,35788,35800,0.000142,0,"1436","3180","","",2015-05-27,"18","Orbital ATK","USA","Guiana Space Center","Ariane 5 ECA","2015-026B",40664,-52.76898,5.21603
"1078",1078,"Skynet 4C","United Kingdom","Intelsat/Paradigm Secure Communications (wholly owned by EADS Astrium)","United Kingdom","Military","Communications","","GEO","",-1.3,35775,35797,0.000261,13.6,"1436.07","1474","850","1200",1990-08-30,"7","Astrium","France/UK/Germany","Guiana Space Center","Ariane 44LP","1990-079A",20776,-52.76898,5.21603
"1079",1079,"Skynet 4E","United Kingdom","Ministry of Defence","United Kingdom","Military","Communications","","GEO","",35.58,35774,35797,0.000273,4.99,"1436.06","1510","759","1200",1999-02-26,"7","Astrium","France/UK/Germany","Guiana Space Center","Ariane 44L","1999-009B",25639,-52.76898,5.21603
"1080",1080,"Skynet 4F","United Kingdom","Ministry of Defence","United Kingdom","Military","Communications","","GEO","",-34.04,35773,35801,0.000332,3.23,"1436.15","1510","830","1200",2001-02-07,"7","Astrium","France/UK/Germany","Guiana Space Center","Ariane 44L","2001-005B",26695,-52.76898,5.21603
"1081",1081,"Skynet 5A","United Kingdom","Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium)","United Kingdom","Military","Communications","","GEO","",-1.12,35771,35802,0.000368,0.07,"1436.1","4700","2170","6000",2007-03-11,"15","EADS Astrium","France/UK/Germany","Guiana Space Center","Ariane 5 ECA","2007-007B",30794,-52.76898,5.21603
"1082",1082,"Skynet 5B","United Kingdom","Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium)","United Kingdom","Military","Communications","","GEO","",52.8,35700,35803,0.00122,0.07,"1436.1","4635","2170","6000",2007-11-14,"15","EADS Astrium","France/UK/Germany","Guiana Space Center","Ariane 5","2007-056B",32294,-52.76898,5.21603
"1083",1083,"Skynet 5C","United Kingdom","Ministry of Defence/Paradigm Secure Communications (wholly owned by EADS Astrium)","United Kingdom","Military","Communications","","GEO","",-17.83,35770,35803,0.000391,0.53,"1436.1","4600","","",2008-06-12,"","EADS Astrium","United Kingdom","Guiana Space Center","Ariane 5 ECA","2008-030A",33055,-52.76898,5.21603
"1084",1084,"Skynet 5D","United Kingdom","Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium)","United Kingdom","Military","Communications","","GEO","",25,35786,35793,8.3e-05,0.07,"1436.24","4638","","",2012-12-19,"15","EADS Astrium","United Kingdom","Guiana Space Center","Ariane 5 ECA","2012-075A",39034,-52.76898,5.21603
"1085",1085,"SkySat-1","USA","Terra Bella","USA","Commercial","Earth Observation","Optical Imaging","LEO","Sun-Synchronous",0,567,599,0.0023,97.81,"96.34","","","",2013-11-21,"","Skybox Imaging","USA","Dombarovsky Air Base","Dnepr","2013-066C",39418,-57.65625,-14.60485
"1086",1086,"SkySat-2","NR","Terra Bella","USA","Commercial","Earth Observation","Optical Imaging","LEO","Sun-Synchronous",0,626,634,0.000571,98.4,"97.31","90","","",2014-07-08,"","Skybox Imaging","USA","Baikonur Cosmodrome","Soyuz-2.1b","2014-037D",40072,63.30091,46.00573
"1087",1087,"SkySat-3","NR","Terra Bella","USA","Commercial","Earth Observation","Optical Imaging","LEO","Sun-Synchronous",0,500,515,0.00109,97.5,"94.78","110","","",2016-06-22,"","Space Systems/Loral","USA","Satish Dhawan Space Center","PSLV XL","2016-040C",41601,-57.65625,-14.60485
"1088",1088,"SkyTerra 1","USA","LightSquared","USA","Commercial","Communications","","GEO","",-101.3,35782,35791,0.000107,6.06,"1436.09","5360","3200","",2010-11-14,"15","Boeing Satellite Systems","USA","Baikonur Cosmodrome","Breeze M","2010-061A",37218,63.30091,46.00573
"1089",1089,"SMAP","NR","National Aeronautics and Space Administration (NASA)","USA","Government","Earth Observation","Earth Science","LEO","Sun-Synchronous",0,660,686,0.00185,98.13,"98.21","","","",2015-01-31,"3","Jet Propulsion Laboratory (NASA)","USA","Vandenberg AFB","Delta 2","2015-003A",40376,-120.53757,34.75046
"1090",1090,"SMDC-ONE 1.1","USA","US Army Space and Missile Defense Command","USA","Military","Technology Development","","LEO","Non-Polar Inclined",0,495,791,0.0211,64.6,"97.5","5","","",2012-09-13,"","Miltec","USA","Vandenberg AFB","Atlas 5","2012-048J",38766,-120.53757,34.75046
"1091",1091,"SMDC-ONE 1.2","USA","US Army Space and Missile Defense Command","USA","Military","Technology Development","","LEO","Non-Polar Inclined",0,483,789,0.0218,64.6,"97.4","3","","",2012-09-13,"","Miltec","USA","Vandenberg AFB","Atlas 5","2012-048B",38759,-120.53757,34.75046
"1092",1092,"SMDC-ONE 2.3","NR","US Army Space and Missile Defense Command","USA","Military","Technology Development","","LEO","Polar",0,443,886,0.0315,120.3,"98","5","","",2013-12-06,"","Miltec","USA","Vandenberg AFB","Atlas 5","2013-072N",39474,-120.53757,34.75046
"1093",1093,"SMDC-ONE 2.4","NR","US Army Space and Missile Defense Command","USA","Military","Technology Development","","LEO","Polar",0,443,886,0.0315,120.3,"98","5","","",2013-12-06,"","Miltec","USA","Vandenberg AFB","Atlas 5","2013-072L",39472,-120.53757,34.75046
"1094",1094,"SMOS","ESA","Centre National d'Etudes Spatiales (CNES)/European Space Agency","ESA","Government","Earth Observation","Earth Science","LEO","Sun-Synchronous",0,759,760,7.01e-05,98.4,"100","658","630","1065",2009-11-02,"3","Thales Alenia Space","France","Plesetsk Cosmodrome","Breeze KM","2009-059A",36036,2,46
"1095",1095,"SNaP-3 Alice","NR","US Army Space and Missile Defense Command","USA","Military","Technology Development","","LEO","Non-Polar Inclined",0,495,801,0.0218,64.78,"97.68","5","","",2015-10-08,"","US Army Space and Missile Defense Command","USA","Cape Canaveral","Atlas 5","2015-058G",40970,-80.53311,28.45861
"1096",1096,"SNaP-3 Eddie","NR","US Army Space and Missile Defense Command","USA","Military","Technology Development","","LEO","Non-Polar Inclined",0,496,801,0.0217,64.78,"97.69","5","","",NA,"","US Army Space and Missile Defense Command","USA","Cape Canaveral","Atlas 5","2015-058J",40972,-80.53311,28.45861
"1097",1097,"SNaP-3 Jimi","NR","US Army Space and Missile Defense Command","USA","Military","Technology Development","","LEO","Non-Polar Inclined",0,495,801,0.0218,64.78,"97.67","5","","",NA,"","US Army Space and Missile Defense Command","USA","Cape Canaveral","Atlas 5","2015-058M",40975,-80.53311,28.45861
"1098",1098,"SNaP-3-1","NR","US Southern Command","USA","Military","Communications","","LEO","Polar",0,443,886,0.0315,120.3,"98","","","",2013-12-06,"","Naval Post-Graduate School","USA","Vandenberg AFB","Atlas 5","2013-072G",39468,-120.53757,34.75046
"1099",1099,"SOCRATES","Japan","National Institute of Information and Communications Technology (JPN)","Japan","Commercial","Technology Development","","LEO","Sun-Synchronous",0,618,629,0.000786,97.87,"97.17","48","","100",2014-05-24,"","Advanced Engineering Services Company, Ltd.","Japan","Tanegashima Space Center","H-2A","2014-029C",39768,130.97353,30.40318
"1100",1100,"SOHLA 1","Japan","Astrotech SOHLA","Japan","Civil","Technology Development","","LEO","Sun-Synchronous",0,657,665,0.000569,98.1,"98","50","","",2009-01-23,"","Space Oriented Higashiosaka Leading Association","Japan","Tanegashima Space Center","H-2A","2009-002E",33496,130.97353,30.40318
"1101",1101,"SOlar Radiation and Climate Experiment (SORCE)","USA","NASA Earth Science Office/Laboratory for Atmospheric and Space Physics, Univ. of Colorado","USA","Government/Civil","Space Science","","LEO","Non-Polar Inclined",0,600,633,0.00236,40,"97","315","290","348",2003-01-25,"6","Orbital Sciences Corp.","USA","Cape Canaveral","Pegasus XL","2003-004A",27651,-80.53311,28.45861
"1102",1102,"Spaceway 3","USA","Hughes Network Systems","USA","Commercial","Communications","","GEO","",-94.93,35785,35787,2.37e-05,0.06,"1436.1","6100","3655","",2007-08-14,"12","Boeing Satellite Systems","USA","Guiana Space Center","Ariane 5 ECA","2007-036A",32018,-52.76898,5.21603
"1103",1103,"Spaceway F1","USA","DirecTV, Inc.","USA","Commercial","Communications","","GEO","",-102.87,35785,35787,2.37e-05,0.05,"1436.1","5993","3691","12300",2005-04-26,"12.6","Boeing Satellite Systems","USA","Sea Launch (Odyssey)","Zenit 3SL","2005-015A",28644,-57.65625,-14.60485
"1104",1104,"Spaceway F2","USA","DirecTV, Inc.","USA","Commercial","Communications","","GEO","",-99.08,35785,35787,2.37e-05,0.04,"1436.1","5993","3691","12300",2005-11-16,"12.6","Boeing Satellite Systems","USA","Guiana Space Center","Ariane 5 ECA","2005-046B",28903,-52.76898,5.21603
"1105",1105,"Spainsat","NR","Hisdesat/Ministry of Defense","Spain","Military","Communications","","GEO","",13.06,35745,35826,0.000961,0.06,"1436.1","3680","1467","",2006-03-11,"","Space Systems/Loral","USA","Guiana Space Center","Ariane 5","2006-007A",28946,-52.76898,5.21603
"1106",1106,"Spektr-R/RadioAstron","Russia","Astro Space Center of Moscow/Russian Academy of Sciences","Multinational","Government","Space Science","","LEO","Cislunar",0,1000,330000,0.957,51.46,"8 days","3660","","",2011-07-18,"5","Lavochkin","Russia","Baikonur Cosmodrome","Zenit 3SLBF/Fregat SB","2011-037A",37755,63.30091,46.00573
"1107",1107,"SpinSat","USA","US Naval Research Laboratory","USA","Military","Technology Development","","LEO","Non-Polar Inclined",0,406,419,0.000958,51.65,"92.81","50","","",2014-11-28,"","U.S. Naval Research Laboratory","USA","International Space Station","Cyclops Deployer System","1998-067FL",40314,-57.65625,-14.60485
"1108",1108,"SPIRALE-A","France","Ministry of Defense/General Delegation for Ordnance (DGA)","France","Military","Technology Development","Infrared Imaging","Elliptical","",0,240,31342,0.702,2,"547","117","","",2009-02-11,"","EADS Astrium","France","Guiana Space Center","Ariane 5 ECA","2009-008C",33751,-52.76898,5.21603
"1109",1109,"SPIRALE-B","France","Ministry of Defense/General Delegation for Ordnance (DGA)","France","Military","Technology Development","Infrared Imaging","Elliptical","",0,389,17480,0.558,2.1,"314","117","","",2009-02-11,"","EADS Astrium","France","Guiana Space Center","Ariane 5 ECA","2009-008D",33752,-52.76898,5.21603
"1110",1110,"Spot 6","France","Spot Image","France/Belgium/Sweden","Commercial","Earth Observation","Optical Imaging","LEO","Sun-Synchronous",0,696,699,0.000212,98.2,"98.73","720","","",2012-09-09,"10","EADS Astrium","France/UK/Germany","Satish Dhawan Space Center","PSLV","2012-047A",38755,NA,NA
"1111",1111,"Spot 7","France","Spot Image","France/Belgium/Sweden","Commercial","Earth Observation","Optical Imaging","LEO","Sun-Synchronous",0,643,660,0.00121,98.2,"97.77","714","","",2014-06-30,"10","Airbus Defense and Space","France/UK/Germany","Satish Dhawan Space Center","PSLV-CA","2014-034A",40053,NA,NA
"1112",1112,"SPROUT","Japan","Nihon University","Japan","Civil","Technology Development","","LEO","Sun-Synchronous",0,614,629,0.00107,97.87,"97.13","7","","",2014-05-24,"","Nihon University","Japan","Tanegashima Space Center","H-2A","2014-029E",39770,130.97353,30.40318
"1113",1113,"SRMSat","India","SRM University","India","Civil","Technology Development","","LEO","Non-Polar Inclined",0,850,868,0.00124,20,"102.1","11","","",2011-10-12,"1 yr.","SRM University","India","Satish Dhawan Space Center","PSLV","2011-058D",37841,79,22
"1114",1114,"SSOT","Chile","Chilean Air Force","Chile","Government/Military","Earth Observation","Optical Imaging","LEO","Sun-Synchronous",0,622,624,0.000143,98,"97.2","117","","",2011-12-17,"","Astrium","France","Guiana Space Center","Soyuz 2/Fregat","2011-076E",38011,-52.76898,5.21603
"1115",1115,"ST-2","NR","Singapore Telecommunications Ltd. (SingTel)/Chunghwa Telecom Co. Ltd.","Singapore/Taiwan","Commercial","Communications","","GEO","",87.99,35783,35791,9.49e-05,0.02,"1436.12","5090","","",2011-05-20,"15","Mitsubishi Electric Corporation","Japan","Guiana Space Center","Ariane 5","2011-022B",37606,-52.76898,5.21603
"1116",1116,"Star 1 C1","Brazil","Star One (SES [Soci√å¬©t√å¬© Europ√å¬©enne des Satellites (SES)])","Brazil","Commercial","Communications","","GEO","",-64.98,35703,35778,0.000891,0.03,"1436","4100","1750","10500",2007-11-14,"15","Thales Alenia Space","France","Guiana Space Center","Ariane 5","2007-056A",32293,-52.76898,5.21603
"1117",1117,"Star 1 C2","Brazil","Star One (SES [Soci√å¬©t√å¬© Europ√å¬©enne des Satellites (SES)])","Brazil","Commercial","Communications","","GEO","",-69.93,35776,35796,0.000237,0.06,"1436.1","4100","1750","",2008-04-18,"","Thales Alenia Space","France","Guiana Space Center","Ariane 5 ECA","2008-018B",32768,-52.76898,5.21603
"1118",1118,"Star 1 C3","Brazil","Star One (SES [Soci√å¬©t√å¬© Europ√å¬©enne des Satellites (SES)])","Brazil","Commercial","Communications","","GEO","",-75,35791,35848,0.000676,0.02,"1437.78","3225","1402","",2012-11-10,"15","Orbital Sciences Corp.","USA","Guiana Space Center","Ariane 5 ECA","2012-062A",38991,-52.76898,5.21603
"1119",1119,"Star 1 C4","NR","Star One (SES [Soci√å¬©t√å¬© Europ√å¬©enne des Satellites (SES)])","Brazil","Commercial","Communications","","GEO","",-70,35786,35801,0.000178,0,"1436.1","5634","","15600",2015-07-15,"15","Space Systems/Loral","USA","Guiana Space Center","Ariane 5 ECA","2015-034B",40733,-52.76898,5.21603
"1120",1120,"STARE-B","USA","National Reconaissance Office","USA","Military","Space Science","","LEO","Non-Polar Inclined",0,500,506,0.000436,40.5,"94.6","3","","",2013-11-19,"","Lawrence Livermore National Laboratory","USA","Wallops Island Flight Facility","Minotaur 1","2013-064T",39397,-75.48333,37.85
"1121",1121,"STPSat-3","USA","US Air Force","USA","Military","Technology Development","","LEO","Non-Polar Inclined",0,497,507,0.000728,40.51,"94.66","137","","",2013-11-19,"3","Ball Aerospace","USA","Wallops Island Flight Facility","Minotaur 1","2013-064A",39380,-75.48333,37.85
"1122",1122,"STRaND-1","United Kingdom","Surrey Satellite Technology Limited (SSTL)","United Kingdom","Commercial","Technology Development","","LEO","Sun-Synchronous",0,772,783,0.000769,98.6,"100.4","4","","",2013-02-25,"","Surrey Satellite Technology Limited (SSTL)","UK","Satish Dhawan Space Center","PSLV","2013-009E",39090,NA,NA
"1123",1123,"STSat-2C","South Korea","Korea Aerospace Research Institute (KARI)","South Korea","Government","Technology Development","","LEO","Polar",0,298,1482,0.0815,80.28,"102.77","93","","160",2013-01-30,"2","Korea Advanced Institute of Science and Technology (KAIST)","South Korea","Naro Space Center","Naro-1","2013-003A",39068,127.51834,34.4509
"1124",1124,"STSat-3","South Korea","Korea Aerospace Research Institute (KARI)","South Korea","Government","Technology Development","","LEO","Sun-Synchronous",0,593,626,0.00236,97.81,"96.88","150","","275",2013-11-21,"2","Korea Advanced Institute of Science and Technology (KAIST)","South Korea","Dombarovsky Air Base","Dnepr","2013-066G",39422,127.75,36.5
"1125",1125,"Superbird 7","Japan","Sky Perfect JSAT Corporation","Japan","Commercial","Communications","","GEO","",143.77,35778,35794,0.00019,0.12,"1436.1","5000","","",2008-08-14,"15","Mitsubishi Electric Corporation","Japan","Guiana Space Center","Ariane 5 ECA","2008-038A",33274,-52.76898,5.21603
